"Name","Sectors","Filters","Related Tags"
"throughput or production rate","Manufacturing & Devices","",""
"Thyristor applications","Manufacturing & Devices","",""
"Thyristor circuits","Manufacturing & Devices","",""
"Thyristor power control circuits","Manufacturing & Devices","",""
"Thyristor power supplies","Manufacturing & Devices","",""
"Thyristors","Manufacturing & Devices","",""
"Thyristors and silicon controlled rectifiers","Manufacturing & Devices","",""
"time reversal","Defense","",""
"time reversal radar","Defense","",""
"time to market","Manufacturing & Devices","",""
"Timing","Healthcare, Manufacturing & Devices, Financial Services, Computing & IT, Retail, Agriculture, Critical Infrastructure, Energy, Education, Environment, Entertainment, Transportation, Defense","",""
"timing analysis","Communications, Computing & IT, Agriculture","",""
"token ring","Manufacturing & Devices, Communications","",""
"tomography","Computing & IT","",""
"tools","Computing & IT, Energy","",""
"torpedo propulsion","Defense","",""
"towed arrays","Defense","",""
"TR devices","Manufacturing & Devices","",""
"Trace back","Manufacturing & Devices","",""
"traceability","Healthcare","",""
"Tracked 3× oversampling","Manufacturing & Devices","",""
"Tracking","Manufacturing & Devices","",""
"Tracking filters Transmission line analysis","Manufacturing & Devices","",""
"Tracking loops","Manufacturing & Devices","",""
"Track-and-hold Transition-metal materials/devices","Manufacturing & Devices","",""
"Track-hold circuits","Manufacturing & Devices","",""
"traction drive","Transportation","",""
"Trading","Financial Services","",""
"traffic control","Transportation","",""
"training","Healthcare","",""
"training and continuing education","Energy, Defense","",""
"Transactions processing","Computing & IT","",""
"Transadmittance element","Manufacturing & Devices","",""
"Transceiver front-end","Manufacturing & Devices","",""
"Transceivers","Manufacturing & Devices","",""
"Transconductance-capacitor filters","Manufacturing & Devices","",""
"Transconductors","Manufacturing & Devices","",""
"transcutaneous power","Healthcare","",""
"Transducer drive circuits","Manufacturing & Devices","",""
"Transducers","Manufacturing & Devices","",""
"Transducers and sensing devices","Manufacturing & Devices","",""
"Transductors","Manufacturing & Devices","",""
"Transfer functions","Manufacturing & Devices","",""
"Transferred-electron amplifiers","Manufacturing & Devices","",""
"Transferred-electron devices","Manufacturing & Devices","",""
"Transferred-electron microwave amplifiers","Manufacturing & Devices","",""
"Transform coding","Manufacturing & Devices","",""
"transformer","Energy","",""
"Transformer circuit models","Manufacturing & Devices","",""
"Transformerless signal path","Manufacturing & Devices","",""
"transformers","Manufacturing & Devices","",""
"Transformers and reactors","Manufacturing & Devices","",""
"Transformers Traveling wave amplifiers","Manufacturing & Devices","",""
"Transforms","Manufacturing & Devices","",""
"Transient analysis","Manufacturing & Devices","",""
"Transient design","Manufacturing & Devices","",""
"Transient response","Manufacturing & Devices","",""
"Transients","Manufacturing & Devices","",""
"transients","Energy","",""
"Transimpedance gain","Manufacturing & Devices","",""
"Transimpedance preamplifier","Manufacturing & Devices","",""
"Transimpedance (TZ) amplifier","Manufacturing & Devices","",""
"Transistor amplifiers","Manufacturing & Devices","",""
"Transistor circuits","Manufacturing & Devices","",""
"Transistor mismatch","Manufacturing & Devices","",""
"Transistor models","Manufacturing & Devices","",""
"Transistor noise","Manufacturing & Devices","",""
"Transistor noise models","Manufacturing & Devices","",""
"Transistor oscillators","Manufacturing & Devices","",""
"Transistor switches","Manufacturing & Devices","",""
"Transistors","Manufacturing & Devices","",""
"Transistor-amplifier realization","Manufacturing & Devices","",""
"Transistor-transistor logic","Manufacturing & Devices","",""
"Transistor-transistor logic circuits","Manufacturing & Devices","",""
"Transit time devices","Manufacturing & Devices","",""
"Transition probability","Manufacturing & Devices","",""
"Translinear","Manufacturing & Devices","",""
"Transmission gates","Manufacturing & Devices","",""
"Transmission line links and equipment","Manufacturing & Devices","",""
"Transmission line theory","Manufacturing & Devices","",""
"Transmission lines","Manufacturing & Devices","",""
"Transmission receiver","Manufacturing & Devices","",""
"Transmission-line resonators","Manufacturing & Devices","",""
"Transmission-line-pulse (TLP) generator","Manufacturing & Devices","",""
"Transmitters","Manufacturing & Devices","",""
"transmitters and receivers","Communications","",""
"transmitting","Computing & IT","",""
"Transmit/receive circuits","Manufacturing & Devices","",""
"Transmultiplexing","Manufacturing & Devices","",""
"Transponders","Manufacturing & Devices","",""
"Transport processes","Manufacturing & Devices","",""
"Transport protocols","Manufacturing & Devices","",""
"transportation","Communications, Energy, Critical Infrastructure","",""
"Transportation","Manufacturing & Devices","",""
"Transversal filters","Manufacturing & Devices","",""
"TRAPATT amplifiers","Manufacturing & Devices","",""
"TRAPATT diode oscillators","Manufacturing & Devices","",""
"TRAPATT diodes","Manufacturing & Devices","",""
"TRAPATT pulse generators","Manufacturing & Devices","",""
"trasnceivers","Communications","",""
"Traveling-wave tubes","Manufacturing & Devices","",""
"Traversal clock network delay","Manufacturing & Devices","",""
"TREE","Defense","",""
"Tree search","Manufacturing & Devices","",""
"Tree searching","Manufacturing & Devices","",""
"Trees (graphs)","Manufacturing & Devices","",""
"Trellis codes","Manufacturing & Devices","",""
"Trellis coding","Manufacturing & Devices","",""
"Trellis-coded modulation","Manufacturing & Devices","",""
"Trench cell","Manufacturing & Devices","",""
"Trench isolation","Manufacturing & Devices","",""
"Trigger circuits","Manufacturing & Devices","",""
"Triggering","Manufacturing & Devices","",""
"Trimming","Manufacturing & Devices","",""
"Triple-push oscillators","Manufacturing & Devices","",""
"Triple-well bipolar transistor","Manufacturing & Devices","",""
"Triply controlled delay cell","Manufacturing & Devices","",""
"Trojan Horse","Defense","",""
"True rms converter","Manufacturing & Devices","",""
"True single-phase clocking","Manufacturing & Devices","",""
"trust","Financial Services, Computing & IT, Healthcare, Entertainment, Retail, Communications, Defense","",""
"TTL circuits","Manufacturing & Devices","",""
"TTL (transistor-transistor logic)","Manufacturing & Devices","",""
"Tunable amplifiers","Manufacturing & Devices","",""
"Tunable capacitors","Manufacturing & Devices","",""
"Tunable devices","Manufacturing & Devices","",""
"Tunable digital filters","Manufacturing & Devices","",""
"Tunable filters","Manufacturing & Devices","",""
"Tunable oscillators","Manufacturing & Devices","",""
"Tunable/reconfigurable electronics","Defense","",""
"Tuned amplifiers","Manufacturing & Devices","",""
"Tuned circuits","Manufacturing & Devices","",""
"Tuned transistor amplifiers","Manufacturing & Devices","",""
"Tuners","Manufacturing & Devices","",""
"Tungsten","Manufacturing & Devices","",""
"Tungsten alloys/compounds devices","Manufacturing & Devices","",""
"Tuning circuits","Manufacturing & Devices","",""
"Tuning elements","Manufacturing & Devices","",""
"Tuning techniques","Manufacturing & Devices","",""
"Tunnel controllers","Manufacturing & Devices","",""
"Tunnel devices/effects","Manufacturing & Devices","",""
"Tunnel diode oscillators","Manufacturing & Devices","",""
"Tunnel diode switching circuits","Manufacturing & Devices","",""
"Tunnel diodes","Manufacturing & Devices","",""
"Tunnel effect","Manufacturing & Devices","",""
"Tunnel sensors","Manufacturing & Devices","",""
"Tunnel transistors","Manufacturing & Devices","",""
"Tunneling","Manufacturing & Devices","",""
"Tunnel-diode circuits","Manufacturing & Devices","",""
"Turbo codes","Manufacturing & Devices","",""
"tutoring","Education","",""
"TV demodulation","Communications","",""
"TV displays","Communications","",""
"TV distortion","Communications","",""
"TV image sensors","Communications","",""
"TV imaging","Communications","",""
"TV receiver amplifiers","Communications","",""
"TV receiver circuits","Communications","",""
"TV receiver signal processing","Communications","",""
"TV receiver synchronizing circuits","Communications","",""
"TV receiver tuners","Communications","",""
"TV signals","Communications","",""
"UAVs","Defense","",""
"Ultra High Definition TV","Entertainment","",""
"ultra low power circuits millimeter-wave circuits (MMDS","Manufacturing & Devices, Communications","",""
"ultra wideband","Communications","",""
"ultracapacitor","Manufacturing & Devices","",""
"ultracapacitors","Transportation","",""
"ultrasonic cleaning","Environment","",""
"ultrasonic communication","Communications","",""
"ultrasonic sensors","Transportation","",""
"ultrasound","Computing & IT","",""
"ultrasound imaging","Healthcare","",""
"Ultrawideband","Defense","",""
"ultrawideband","Manufacturing & Devices, Communications","",""
"ultrawideband antennas","Communications","",""
"ultra-low-voltage logic design","Manufacturing & Devices","",""
"ultra-wide bandwidth","Communications","",""
"UML","Computing & IT","",""
"Underwater acoustics","Defense","",""
"underwater cables","Defense","",""
"Unified Modeling Language","Computing & IT","",""
"uninterruptible power supplies","Critical Infrastructure, Computing & IT","",""
"unmanned aerial vehicles","Defense","",""
"unmanned vehicles","Defense","",""
"unscheduled maintenance","Defense","",""
"upgradability","Manufacturing & Devices","",""
"upgradeability","Communications, Defense","",""
"UPS","Retail, Healthcare","",""
"US vs world","Healthcare","",""
"usability","Healthcare, Computing & IT, Education, Entertainment, Transportation, Defense","",""
"usability engineering","Computing & IT","",""
"usability evaluation","Entertainment, Computing & IT","",""
"usability testing","Education, Computing & IT","",""
"user analysis","Computing & IT","",""
"user centered design","Computing & IT","",""
"user education","Education, Computing & IT","",""
"user interface","Communications","",""
"user studies","Computing & IT","",""
"user support","Education, Computing & IT","",""
"user-centered design","Entertainment, Computing & IT, Education","",""
"utility computing","Computing & IT","",""
"utility interface","Energy","",""
"UWB","Critical Infrastructure, Defense","",""
"validation","Communications, Manufacturing & Devices","",""
"VDSL","Communications","",""
"vehicle and cargo locations","Transportation","",""
"Vehicle Propulsion","Transportation, Energy","",""
"Vehicular Control","Defense","",""
"video","Entertainment, Computing & IT","",""
"video image processing","Computing & IT","",""
"Video on Demand","Entertainment","",""
"Virtual Worlds","Computing & IT, Education, Entertainment","",""
"Virus","Defense","",""
"viruses","Healthcare","",""
"viscosity sensors","Entertainment, Defense, Manufacturing & Devices, Communications, Critical Infrastructure, Retail, Energy, Healthcare, Education, Computing & IT, Transportation, Financial Services, Environment","",""
"visual analytics","Computing & IT","",""
"visual design","Computing & IT","",""
"visualization","Computing & IT","",""
"visually impaired","Communications","",""
"VLSI","Computing & IT","",""
"volcanos","Environment","",""
"voltage","Energy","",""
"voltage references","Manufacturing & Devices","",""
"voltage regulators","Manufacturing & Devices","",""
"voltage stabilization","Manufacturing & Devices","",""
"volume","Manufacturing & Devices","",""
"voting systems","Manufacturing & Devices, Healthcare, Financial Services, Computing & IT, Retail, Critical Infrastructure, Energy, Education, Communications, Environment, Entertainment, Transportation, Defense","",""
"VSCF drives","Defense","",""
"vulnerabilities","Energy","",""
"Vulnerability","Defense, Transportation, Financial Services, Manufacturing & Devices, Computing & IT, Retail, Communications","",""
"WAN","Manufacturing & Devices, Communications","",""
"warning systems","Agriculture, Communications, Computing & IT, Healthcare, Critical Infrastructure, Financial Services, Energy, Manufacturing & Devices, Retail, Defense, Transportation","",""
"warranty","Transportation, Healthcare, Manufacturing & Devices, Retail, Computing & IT, Defense, Entertainment","",""
"water","Healthcare","",""
"water pollution","Environment","",""
"wave power","Environment, Energy","",""
"wave propagation","Environment","",""
"waveform diversity","Communications","",""
"wavelet transform","Defense","",""
"wavelets","Defense","",""
"wear","Energy, Agriculture, Defense","",""
"wearable antennas","Defense, Healthcare, Communications","",""
"wearable power","Healthcare","",""
"wearable radios","Healthcare","",""
"wearable sensors","Entertainment, Defense, Healthcare, Communications","",""
"weather monitoring","Agriculture, Defense, Environment","",""
"weather prediction","Environment, Defense, Agriculture","",""
"web design","Computing & IT, Education","",""
"Web services","Computing & IT","",""
"Web Site Design","Computing & IT","",""
"WHN","Communications","",""
"Wide Area reliability","Environment","",""
"wideband","Communications","",""
"wikis","Computing & IT","",""
"WIMAX","Communications","",""
"wind","Energy","",""
"wind power","Environment","",""
"Wire Arrays","Defense","",""
"wireless","Communications","",""
"Wireless Access","Communications","",""
"wireless antennas","Agriculture, Critical Infrastructure, Computing & IT, Healthcare, Communications, Environment, Energy, Manufacturing & Devices, Entertainment, Defense, Transportation","",""
"Wireless Communications","Defense","",""
"wireless control and communication","Manufacturing & Devices, Computing & IT, Agriculture, Communications, Entertainment, Transportation","",""
"Wireless Infrastructure","Communications","",""
"wireless networking","Communications, Entertainment","",""
"wireless propagation and impairments","Communications, Entertainment, Manufacturing & Devices, Energy, Healthcare, Agriculture, Computing & IT, Transportation, Financial Services, Environment","",""
"Wireless Propagation Modeling","Agriculture, Defense, Communications","",""
"wireless propagation modeling","Energy, Healthcare, Manufacturing & Devices, Environment, Entertainment, Communications","",""
"wireless radios","Communications, Agriculture, Education, Healthcare","",""
"wireless sensing","Agriculture, Critical Infrastructure, Computing & IT, Communications, Healthcare, Environment, Energy, Manufacturing & Devices, Transportation","",""
"wireless sensors","Healthcare, Transportation, Energy, Agriculture, Environment, Communications, Manufacturing & Devices, Computing & IT","",""
"wireless spectrum","Environment","",""
"wireless television","Communications","",""
"Wireless Value Chain","Communications","",""
"wiring","Energy","",""
"Wi-Fi","Communications","",""
"WLAN","Manufacturing & Devices, Communications","",""
"WMAN","Manufacturing & Devices, Communications","",""
"workshops","Education","",""
"Worm","Defense","",""
"WPAN","Manufacturing & Devices, Communications","",""
"X ray","Healthcare","",""
"xbt","Environment","",""
"xDSL","Manufacturing & Devices, Communications","",""
"XML","Computing & IT","",""
"X-ray","Healthcare","",""
"x-rays","Computing & IT","",""
"yield","Agriculture, Manufacturing & Devices","",""
"yield-enhancement redundancy","Manufacturing & Devices","",""
"Ymax","Communications","",""
"Z-Pinch","Defense","",""
"""electronic nose"" technology","Manufacturing & Devices, Healthcare, Financial Services, Computing & IT, Retail, Critical Infrastructure, Energy, Education, Communications, Environment, Entertainment, Transportation, Defense","",""
